model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
V0,1,0,206.2,0.7274305555555556,0.6365740740740741,0.7811717407986979,0.7274305555555556,0.6951684502666791,"[[120, 22, 0, 2], [17, 127, 0, 0], [5, 12, 36, 91], [2, 3, 3, 136]]"
V0,2,0,141.2,0.2829861111111111,0.04398148148148151,0.25220710205363545,0.28298611111111105,0.2561110037289185,"[[48, 64, 9, 23], [30, 73, 24, 17], [24, 33, 6, 81], [53, 51, 4, 36]]"
V0,3,0,244.3,0.7013888888888888,0.6018518518518519,0.7117958886187806,0.7013888888888888,0.6905367856212608,"[[132, 7, 0, 5], [33, 105, 2, 4], [28, 34, 62, 20], [8, 11, 20, 105]]"
V0,4,0,373.7,0.3472222222222222,0.12962962962962965,0.43369326259661156,0.3472222222222222,0.3365693936832992,"[[54, 2, 51, 37], [23, 20, 57, 44], [11, 3, 44, 86], [13, 6, 43, 82]]"
V0,5,0,153.7,0.34375,0.125,0.36852072057295937,0.34375,0.3054409239858883,"[[91, 41, 5, 7], [51, 70, 18, 5], [65, 51, 19, 9], [73, 39, 14, 18]]"
V0,6,0,133.3,0.3298611111111111,0.10648148148148151,0.31694320562072986,0.3298611111111111,0.31558610968055667,"[[83, 14, 29, 18], [48, 26, 34, 36], [27, 25, 28, 64], [36, 19, 36, 53]]"
V0,7,0,220.0,0.3489583333333333,0.13194444444444442,0.4399696082402836,0.3489583333333333,0.3376110055915911,"[[46, 50, 43, 5], [7, 93, 41, 3], [15, 76, 45, 8], [2, 13, 112, 17]]"
V0,8,0,192.7,0.6197916666666666,0.4930555555555556,0.6563393117526976,0.6197916666666667,0.6050608063910761,"[[136, 1, 6, 1], [40, 78, 10, 16], [67, 20, 45, 12], [27, 5, 14, 98]]"
V0,9,0,275.7,0.5208333333333334,0.36111111111111116,0.5663225700185989,0.5208333333333333,0.5204207801108375,"[[63, 52, 27, 2], [17, 55, 58, 14], [9, 14, 108, 13], [4, 1, 65, 74]]"
V1,1,0,224.6,0.6510416666666666,0.5347222222222222,0.7595836909991641,0.6510416666666667,0.5921653673847839,"[[134, 9, 0, 1], [46, 98, 0, 0], [17, 7, 14, 106], [15, 0, 0, 129]]"
V1,2,0,115.5,0.2847222222222222,0.04629629629629628,0.274215702696882,0.2847222222222222,0.27505810153420607,"[[39, 62, 28, 15], [25, 67, 37, 15], [28, 31, 21, 64], [53, 41, 13, 37]]"
V1,3,0,125.4,0.7326388888888888,0.6435185185185186,0.7325389495327645,0.7326388888888888,0.7273365080815328,"[[132, 4, 0, 8], [25, 110, 1, 8], [18, 21, 82, 23], [7, 9, 30, 98]]"
V1,4,0,229.9,0.4479166666666667,0.26388888888888884,0.48044298904786475,0.44791666666666663,0.4472294155353184,"[[78, 10, 40, 16], [37, 43, 50, 14], [22, 7, 71, 44], [16, 11, 51, 66]]"
V1,5,0,122.0,0.3472222222222222,0.12962962962962965,0.4419649794649795,0.3472222222222222,0.3150525955299614,"[[48, 74, 20, 2], [20, 90, 33, 1], [32, 60, 51, 1], [35, 62, 36, 11]]"
V1,6,0,107.1,0.3645833333333333,0.1527777777777778,0.35961946834683345,0.36458333333333337,0.3313422856945124,"[[87, 6, 26, 25], [70, 14, 27, 33], [37, 12, 34, 61], [42, 6, 21, 75]]"
V1,7,0,268.0,0.3541666666666667,0.13888888888888884,0.3997048614643166,0.3541666666666667,0.36435906273907165,"[[63, 39, 35, 7], [20, 68, 50, 6], [37, 57, 30, 20], [10, 7, 84, 43]]"
V1,8,0,222.6,0.6458333333333334,0.5277777777777778,0.6597498621196801,0.6458333333333333,0.6355058481072681,"[[126, 3, 11, 4], [26, 96, 9, 13], [61, 19, 51, 13], [17, 11, 17, 99]]"
V1,9,0,129.9,0.5625,0.41666666666666663,0.5684675166707532,0.5625,0.5607184738116165,"[[98, 38, 4, 4], [27, 61, 28, 28], [16, 20, 92, 16], [3, 1, 67, 73]]"
